Comment,Comment Upvote,Time
कितने सालो बाद ऐसा भक्ति गीत बना है मैं इस गीत के गायको और कलाकरो को ध्यान वाद देता हूं जय श्री राम,,1 year ago
Iss gane ko sunkar mann ko sukun milta hai ,894,2 weeks ago
Ahaa haa... Dil ko sukoon mil geya... Ye gaana sunke ️. Ram Siya Ram... Siya Ram... Jai Jai Ram .,,3 weeks ago (edited)
Literally cried man goosebumps ️ jai siya ram,3,1 month ago
Jai shree ram ,,5 days ago
"जात पात पूछे नही कोई,
जो हरि को भजे सो हरि होई।
जय सियाराम",2,1 year ago (edited)
"Lyrics - shabbir Ahmed
Singer -sachet tandon
True india",,3 weeks ago
"Sign of true love=Ram Setu
.
.
.",1,2 weeks ago
Jai shree ram ji  jai shree ram ji ke bhakt hanuman ji ,,9 days ago
Me apna din ka survat yehi song se karti hu jai siya raam,2,3 weeks ago
Kitni madhur aawaj hai.. sach.. mano dil ko chu gai ..,,8 days ago
"RAM is not just a word
Because it is a World
Jai Shree Ram",,1 year ago
All time my favorite song.... Siya Ram jai jai ram,,3 weeks ago
Amazing voice  heart touching lyrics   Jay SiyaRam ,243,4 weeks ago
I love this song jai shree ram ji,,6 days ago
JAI SHREE RAM  JAI SIYA RAM BHAKT HANUMAN JI ️,10,10 days ago
Jai shree ram,,8 days ago
गुलशन कुमार - टी-सिरीज़ द्वारा जारी किसी भी भजन की Quality पे कोई शक नही किया जा सकता। जय श्री राम....,17,1 year ago
"Today I listen my eyes filled with tears ...,.️",,3 weeks ago
This song is included in my daily routine,,1 month ago
Jai shree Ram ,,5 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Ram se bada koi nam nahi our Hanuman se bada koi  bhakt nahiJay sree ram,,6 days ago
Dil khush ho gaya hai ye song sunkar  Jai shree Ram ,12,10 months ago
This is song is not only a song its an emotion ️......when sachet sung the line RAM SIYA RAM...OHH.. GOOSEBUMPS MOMENT ️,,2 weeks ago
I hear this song 50+ times,,3 weeks ago (edited)
जय श्री सियाराम जी️ जय श्री गौरीशंकर जी ️,,6 days ago
Such a peace maker song ,343,6 days ago
"जय श्री राम
जय बजरंग बली",,8 days ago
I proud feel because I born in Ayodhya jai Shree Ram  ,,1 year ago
Now I am addicted this song️,,4 weeks ago
"Whenever i watch this i cry with love, happiness and bhakti",9,2 weeks ago
Jai shree ram ki ,,6 days ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments.",,1 month ago
️ram siya ram siya ram jai jai ram️,,9 days ago
ॐ...ये है मेरा हिंदुत्व.. कितनी सहजता से शब्दों में प्रभु प्रेम पिरोया गया है। ॐ,5,1 year ago
"Goosebumps..Immediate reaction, moment she touches the feet of SiyaRam, BajrangBali comes in action  we need same thing in today's lifetime..",,3 weeks ago (edited)
"Soo beautiful ,peaceful nd filling relaxing song......",,1 month ago
जय श्री राम,,8 days ago
"Mere tan man dhadkan me siya ram ram hai 
 man mandir ke darpan me siya ram ram hai 
This line gives me goosebumps ",833,2 days ago (edited)
जय श्री राम,,9 days ago
"My mummy is covid positive and admitted in hospital.
Vinti hai Bhagwan RAM mummy ko jald thik karen aur wo jald hi Ghar aa jaayen",,1 year ago
First time i listened this song. really i can't express that how beautiful Bhajan it is. if i listen this Bhajan 1K time it will less. thank you so much to Sachet tondon and his all the team members who acted and sang this song. Lord Shri Ram Ji Always bless you.,,1 month ago (edited)
गीता से ज्ञान मिला !!  रामायण से राम मिले !! भाग्य से हिंदू धर्म मिला !! किस्मत से हिंदुस्तान मिला !!   जय सियाराम.,3,4 days ago
My favourite song,,6 days ago
This song made me realise that as a human I am so imperfect. This song gives me strength to explore the real meaning of human life and devote it by abiding the principles of lord Ram and Hanuman,,4 weeks ago
Jai shree ram ,,9 days ago
